chr	start	end	het_ratio	het_length
chr2	52073234	52075373	47.5	2139
chr2	52077089	52077958	48.1	869
chr2	52078678	52107332	49.1	28654
chr2	52107488	52112307	47.8	4819
chr2	52113315	52147534	45.1	34219
chr2	52148115	52155334	45.3	7219
chr2	52156015	52162069	48.1	6054
chr2	52162235	52185617	44.9	23382
chr2	52185812	52223452	45.5	37640
chr2	52223716	52235087	50	11371
chr2	52235912	52262698	40.4	26786
chr2	52263430	52264844	34.7	1414
chr2	52265427	52267494	35.4	2067
chr2	52268679	52271920	36.5	3241
chr2	52272710	52277950	41.1	5240
chr2	52279501	52281812	46.4	2311
chr2	52282531	52290079	40.4	7548
chr2	52291298	52308536	50	17238
chr2	52308810	52317868	42.9	9058
chr2	52318655	52372188	44.4	53533
chr2	52372978	52387649	45.5	14671
chr2	52387811	52392842	48	5031
chr2	52394225	52398400	43.1	4175
chr2	52399212	52400754	50	1542
chr2	52401900	52412644	48.1	10744
chr2	52414188	52423862	42.2	9674
chr2	52424140	52425094	42.9	954
chr2	52425546	52447244	44.1	21698
chr2	52447592	52463423	48.1	15831
chr2	52464801	52465605	48.9	804
chr2	52466899	52471341	46.2	4442
chr2	52472744	52474355	40.9	1611
chr2	52479048	52485668	46	6620
chr2	52486363	52490647	47.7	4284
chr2	52493822	52585187	47.6	91365
chr2	52585872	52609355	38.6	23483
chr2	52609615	52615790	48.8	6175
chr2	52617383	52645877	48.9	28494
chr2	52646096	52647770	44.2	1674
chr2	52648158	52649996	40.5	1838
chr2	52651907	52654875	41.7	2968
chr2	52655191	52667866	33.3	12675
chr2	52668322	52671188	47.2	2866
chr2	52671374	52674222	48.1	2848
chr2	52676365	52677773	42.9	1408
chr2	52679210	52682845	45.7	3635
chr2	52683451	52698830	46.2	15379
chr2	52698994	52700859	47.2	1865
chr2	52701086	52701770	49.1	684
chr2	52702971	52716990	50	14019
chr2	52718673	52721970	36.8	3297
chr2	52722367	52745422	44.7	23055
chr2	52746104	52756426	46.8	10322
chr2	52757176	52767631	46.5	10455
chr2	52769940	52791619	46.5	21679
chr2	52791641	52840594	39.1	48953
chr2	52842581	52847612	47.1	5031
chr2	52847901	52861949	47.9	14048
chr2	52862343	52865169	47.8	2826
chr2	52866549	52886557	45.8	20008
chr2	52886568	52903028	42.2	16460
chr2	52903691	52924191	47.9	20500
chr2	52924574	53004065	40.4	79491
chr2	53004728	53006061	34	1333
chr2	53007249	53085341	33.3	78092
chr2	53087251	53096060	41.3	8809
chr2	53096348	53259851	37.5	163503
chr2	53261319	53316417	47.8	55098
chr2	53318452	53320138	32.4	1686
chr2	53320643	53322773	40	2130
chr2	53325096	53384655	33.3	59559
chr2	53385084	53387692	48.1	2608
chr2	53387977	53436557	45.7	48580
chr2	53437197	53443148	48.8	5951
chr2	53444617	53448738	46.8	4121
chr2	53449112	53450684	42.5	1572
chr2	53452057	53453893	44.7	1836
chr2	53454741	53455882	40	1141
chr2	53456939	53457837	41.5	898
chr2	53459441	53511553	44.2	52112
chr2	53512311	53583423	44.9	71112
chr2	53587515	53634707	10.6	47192
chr2	53635364	53662859	48.7	27495
chr2	53663163	53691362	46.5	28199
chr2	53691931	53713463	44.8	21532
chr2	53714521	53727507	32.4	12986
chr2	53727960	53793385	37.5	65425
chr2	53794015	53817847	39.5	23832
chr2	53818762	53820546	48.9	1784
chr2	53820552	53894284	28.2	73732
chr2	53895746	53917441	46	21695
chr2	53917954	53922369	36.4	4415
chr2	53922870	53937029	36	14159
chr2	53937190	53970072	40.4	32882
chr2	53970120	54003668	37.1	33548
chr2	54004103	54078016	48.7	73913
chr2	54078337	54092529	42.2	14192
chr2	54092938	54206113	33.3	113175
chr2	54206680	54210320	50	3640
chr2	54210585	54216035	50	5450
chr2	54216127	54218186	38	2059
chr2	54218576	54248306	47.9	29730
chr2	54249353	54256910	44.3	7557
chr2	54257233	54259119	39	1886
chr2	54261530	54350600	41.3	89070
chr2	54350773	54387688	43.5	36915
chr2	54388063	54389643	46.5	1580
chr2	54390151	54396422	41.9	6271
chr2	54397498	54398037	48.1	539
chr2	54457605	54458011	37.2	406
chr2	54459839	54462048	33.3	2209
chr2	54516096	54516702	48.8	606
chr2	54564580	54565606	48.9	1026
chr2	54567943	54569383	47.6	1440
chr2	54572087	54572916	49	829
chr2	54574148	54575714	49	1566
chr2	54605376	54605528	45.2	152
chr2	54611659	54611950	50	291
chr2	54692173	54693053	43.4	880
chr2	54708813	54710084	44.7	1271
chr2	54781895	54783032	49.1	1137
chr2	54834608	54835480	48.4	872
chr2	54840369	54841333	48.3	964
chr2	54845873	54846573	50	700
chr2	54848294	54849820	49	1526
chr2	54857949	54859334	41.5	1385
chr2	54931646	54932665	43.5	1019
chr2	54939686	54942286	19	2600
chr2	55067426	55069379	35.4	1953
chr2	55077284	55078493	40.4	1209
chr2	55088850	55089079	39.4	229
chr2	55257585	55258755	50	1170
chr2	55309972	55310738	50	766
chr2	55337711	55338755	33.3	1044
chr2	55346661	55348317	27.7	1656
chr2	55355313	55356002	37.5	689
chr2	55357783	55357994	45.7	211
chr2	55372387	55372973	43.5	586
chr2	55381061	55381865	42.9	804
chr2	55393942	55395527	45.8	1585
chr2	55398619	55398713	40.4	94
chr2	55400750	55403266	45.1	2516
chr2	55406168	55407881	48.9	1713
chr2	55408758	55409676	45.7	918
chr2	55412082	55413694	50	1612
chr2	55417366	55418197	50	831
chr2	55421948	55422616	46.3	668
chr2	55432460	55433398	46.5	938
chr2	55481253	55481444	37.1	191
chr2	55486520	55486722	42.9	202
chr2	55566577	55567353	32.7	776
chr2	55642655	55643314	42.6	659
chr2	55653352	55654398	45.2	1046
chr2	55766777	55768595	46.9	1818
chr2	55770184	55771685	37.7	1501
chr2	55974547	55976144	48.8	1597
chr2	56017136	56017753	49.1	617
chr2	56120483	56123658	43.8	3175
chr2	56134571	56135449	40.4	878
chr2	56159836	56160586	47.5	750
chr2	56328171	56329449	46.7	1278
chr2	56330205	56330969	40	764
chr2	56348469	56349516	39.6	1047
chr2	56350187	56351494	43.1	1307
chr2	56425878	56426752	36.1	874
chr2	56427915	56429010	40.5	1095
chr2	56436807	56438947	33.3	2140
chr2	56452048	56452569	41	521
chr2	56456789	56458125	50	1336
chr2	56464744	56464970	30.2	226
chr2	56481349	56483012	42.9	1663
chr2	56516256	56518375	48.2	2119
chr2	56518996	56519513	46.6	517
chr2	56520069	56521885	44.4	1816
chr2	56529124	56529823	46.9	699
chr2	56530452	56532340	45.8	1888
chr2	56534506	56536209	46.7	1703
chr2	56539504	56542114	47.5	2610
chr2	56543378	56544718	42.6	1340
chr2	56547869	56549604	44	1735
chr2	56550531	56553009	46.8	2478
chr2	56553640	56556863	47.6	3223
chr2	56557971	56558660	45	689
chr2	56563398	56564242	44.4	844
chr2	56568189	56569143	50	954
chr2	56573850	56574941	49	1091
chr2	56589331	56590907	40.4	1576
chr2	56597732	56598779	48.7	1047
chr2	56601920	56602184	46.9	264
chr2	56605695	56606481	49	786
chr2	56610446	56611668	45.7	1222
chr2	56614420	56615575	10.7	1155
chr2	56628370	56629305	49.1	935
chr2	56632140	56632795	43.6	655
chr2	56747794	56748847	49.1	1053
chr2	56773335	56773950	46.2	615
chr2	56785104	56786248	40	1144
chr2	56792483	56794456	47.8	1973
chr2	56797309	56797972	38.5	663
chr2	56809787	56811407	42.9	1620
chr2	56819145	56820258	41.5	1113
chr2	57028447	57030408	46.8	1961
chr2	57031380	57032483	49	1103
chr2	57035000	57035955	45.8	955
chr2	57040555	57041347	47.8	792
chr2	57044627	57047412	43.2	2785
chr2	57125267	57126172	47.3	905
chr2	57158825	57160012	39.3	1187
chr2	57166164	57173919	40	7755
chr2	57187844	57189047	48.8	1203
chr2	57191436	57194969	44.2	3533
chr2	57225064	57226250	44.7	1186
chr2	57227784	57228853	48.7	1069
chr2	57229400	57230133	47.7	733
chr2	57388400	57390407	50	2007
chr2	57435311	57436172	45.9	861
chr2	57472053	57475097	43.9	3044
chr2	57476904	57478976	39.6	2072
chr2	57479714	57481118	39	1404
chr2	57482108	57483137	43.9	1029
chr2	57489171	57490217	47.7	1046
chr2	57498837	57500509	42.1	1672
chr2	57501243	57502738	40.4	1495
chr2	57503383	57505983	40	2600
chr2	57511143	57512775	43.9	1632
chr2	57520176	57521153	41.2	977
chr2	57528946	57529588	46.2	642
chr2	57548520	57548545	40.5	25
chr2	57730151	57730159	23.7	8
chr2	58601543	58602628	38	1085
chr2	58631314	58632404	47.6	1090
chr2	59013892	59014732	47.2	840
chr2	59090546	59092404	43.2	1858
chr2	59256879	59257350	41.2	471
chr2	59407894	59409237	50	1343
chr2	59537284	59539907	47.4	2623
chr2	59546992	59547365	47.2	373
chr2	59558706	59561082	41.9	2376
chr2	59562048	59563439	36.7	1391
chr2	59572088	59573301	38.3	1213
chr2	59578099	59579154	45.5	1055
chr2	59610312	59611456	34.4	1144
chr2	59611456	59611909	37.1	453
chr2	59837586	59838125	48.9	539
chr2	59839693	59840832	44	1139
chr2	59841957	59842950	47.2	993
chr2	59845651	59847487	48.9	1836
chr2	59848406	59849721	49.1	1315
chr2	59859175	59859326	28.9	151
chr2	59861262	59862469	48.9	1207
chr2	59863851	59864880	48	1029
chr2	59960328	59961318	43.1	990
chr2	60367391	60368810	43.2	1419
chr2	60384462	60385198	50	736
chr2	60426151	60427475	45.7	1324
chr2	60435065	60435687	50	622
chr2	60435687	60436157	48.6	470
chr2	60441880	60442403	50	523
chr2	60447412	60448256	43.2	844
chr2	60513128	60513210	18.4	82
chr2	60615783	60616542	40.6	759
chr2	60620324	60621368	39.3	1044
chr2	60625780	60627352	38.8	1572
chr2	60673151	60674120	46.2	969
chr2	61174372	61174385	11.1	13
chr2	61267133	61268012	44.4	879
chr2	61272983	61273916	31.4	933
chr2	61361350	61362365	48.1	1015
chr2	61392529	61394507	47.7	1978
chr2	61460697	61460707	15	10
chr2	61590398	61590881	40	483
chr2	61624107	61624440	47.3	333
chr2	61628528	61629884	48.3	1356
chr2	61630726	61632268	49.1	1542
chr2	61651498	61652525	36	1027
chr2	62198077	62199059	43.5	982
chr2	62269736	62270735	45.8	999
chr2	62296112	62296796	41.5	684
chr2	62309017	62309880	48.1	863
chr2	62418662	62418680	23.8	18
chr2	62671504	62671625	50	121
chr2	63350265	63350311	12.7	46
chr2	63402263	63403749	39.1	1486
chr2	63582873	63583217	48.1	344
chr2	63955345	63956054	39.4	709
chr2	64008760	64010032	35.1	1272
chr2	64043235	64044560	43.2	1325
chr2	64264697	64266258	44.6	1561
chr2	64285584	64286321	12.5	737
chr2	64286965	64287440	47.7	475
chr2	64301574	64302328	44.2	754
chr2	64331804	64332833	46	1029
chr2	64345538	64348156	43.1	2618
chr2	64380562	64381827	48.2	1265
chr2	64383252	64385238	15.9	1986
chr2	64387848	64388424	39.6	576
chr2	64393905	64394809	39.3	904
chr2	64395906	64397610	42.9	1704
chr2	64896388	64896823	46.5	435
chr2	64898810	64899372	45.5	562
chr2	64900647	64902412	42.2	1765
chr2	64912544	64915021	47.8	2477
chr2	65124531	65125233	40.5	702
chr2	65170213	65170611	40	398
chr2	65270200	65271830	49	1630
chr2	65277605	65278784	48.1	1179
chr2	65327085	65327877	46.9	792
chr2	65366210	65366216	44.4	6
chr2	65369673	65370534	43.5	861
chr2	65372176	65372885	47.7	709
chr2	65590615	65591628	47.1	1013
chr2	65592800	65593966	44.4	1166
chr2	65600555	65602348	34.9	1793
chr2	65604264	65604987	33.3	723
chr2	65611276	65613917	45.2	2641
chr2	65615779	65615873	45.7	94
chr2	65624752	65625592	45.3	840
chr2	65757357	65759398	48.9	2041
chr2	65791788	65792068	43.5	280
chr2	65793241	65794215	44.4	974
chr2	65795206	65796678	46.2	1472
chr2	65797545	65798560	42.6	1015
chr2	65799961	65801588	50	1627
chr2	65823438	65826176	43.2	2738
chr2	65835160	65836246	50	1086
chr2	65837755	65839114	43.6	1359
chr2	65860610	65861913	42.9	1303
chr2	65865853	65866996	39.6	1143
chr2	65867711	65869232	42.2	1521
chr2	65870005	65871196	43.6	1191
chr2	65871779	65874314	47.5	2535
chr2	65881017	65883982	45.5	2965
chr2	65885273	65885941	39.7	668
chr2	65887739	65888669	46.3	930
chr2	65935983	65938276	45.1	2293
chr2	65938850	65941059	48.9	2209
chr2	65972868	65974315	43.5	1447
chr2	65974994	65980392	35.9	5398
chr2	66134515	66135159	38.5	644
chr2	66164360	66166048	48.5	1688
chr2	66174429	66175957	43.6	1528
chr2	66187678	66192646	50	4968
chr2	66198199	66200739	37.2	2540
chr2	66202832	66204866	42.9	2034
chr2	66217054	66219716	48.9	2662
chr2	66220651	66220835	43.8	184
chr2	66221826	66223332	43.1	1506
chr2	66287111	66288211	50	1100
chr2	66381572	66383018	45.2	1446
chr2	66384030	66385691	46.9	1661
chr2	66398297	66398809	39.6	512
chr2	66418220	66418581	47.5	361
chr2	66419387	66420940	33.3	1553
chr2	66433494	66434516	48.6	1022
chr2	66531059	66532103	43.8	1044
chr2	66537893	66539011	48.8	1118
chr2	66594230	66595082	43.8	852
chr2	66859869	66860627	50	758
chr2	66918812	66920029	36.5	1217
chr2	66925071	66925438	32	367
chr2	67015988	67016882	36.7	894
chr2	67044848	67045662	50	814
chr2	67046238	67046902	49.1	664
chr2	67048016	67048629	44.2	613
chr2	67127824	67128967	48.8	1143
chr2	67130086	67132137	47.4	2051
chr2	67148393	67149513	41.3	1120
chr2	67192358	67193981	41.7	1623
chr2	67271281	67272330	41.3	1049
chr2	67299026	67300252	47.6	1226
chr2	67311511	67312429	38.3	918
chr2	67314723	67315035	44.4	312
chr2	67319765	67320763	48.9	998
chr2	67343518	67344271	48.9	753
chr2	67369169	67371166	36.7	1997
chr2	67402183	67402727	41.2	544
chr2	67414701	67416579	42	1878
chr2	67421713	67422163	44.2	450
chr2	67451387	67452114	49.1	727
chr2	67454319	67455542	43.6	1223
chr2	67492932	67494331	32	1399
chr2	67506598	67509541	38.7	2943
chr2	67564770	67565429	46.8	659
chr2	67576514	67578045	47.7	1531
chr2	67592263	67592284	15.6	21
chr2	67619868	67621207	42.1	1339
chr2	67632279	67632683	39.5	404
chr2	67646775	67647692	48.8	917
chr2	67650952	67652304	45.5	1352
chr2	67663411	67664480	41.3	1069
chr2	67681521	67682612	47.8	1091
chr2	67687171	67687837	36.2	666
chr2	67691389	67692782	42.2	1393
chr2	67693774	67698737	13.6	4963
chr2	67699415	67702437	37.8	3022
chr2	67707575	67709825	42.9	2250
chr2	67723119	67724292	43.5	1173
chr2	67872544	67875677	49.1	3133
chr2	67883220	67887140	44.6	3920
chr2	67900267	67901799	30.6	1532
chr2	67902939	67903822	31.2	883
chr2	67916133	67916520	40	387
chr2	67917256	67917633	24.1	377
chr2	68020417	68021765	50	1348
chr2	68023194	68024325	48.9	1131
chr2	68033715	68035481	46.3	1766
chr2	68184979	68186252	44.8	1273
chr2	68208471	68208990	49.1	519
chr2	68227027	68227593	38.9	566
chr2	68241851	68242828	47.9	977
chr2	68315581	68315853	48.7	272
chr2	68343637	68346706	46.9	3069
chr2	68443563	68444402	36.8	839
chr2	68461458	68462693	42.4	1235
chr2	68463600	68464149	46.9	549
chr2	68764486	68765350	39.5	864
chr2	68767940	68768808	32.4	868
chr2	68773893	68774789	42.6	896
chr2	68781800	68782589	44.4	789
chr2	68797865	68798594	46	729
chr2	68813930	68815100	43.6	1170
chr2	68822803	68823761	42.6	958
chr2	68827023	68829841	41.1	2818
chr2	68842643	68843452	47.2	809
chr2	69129007	69129620	44.6	613
chr2	69131378	69134524	42.6	3146
chr2	69155883	69156857	50	974
chr2	69177340	69178488	42.6	1148
chr2	69335268	69336242	49	974
chr2	69377091	69378536	40.4	1445
chr2	69409145	69410709	44.7	1564
chr2	69416689	69417467	43.6	778
chr2	69430630	69431444	47.9	814
chr2	69489791	69490854	46.5	1063
chr2	70391245	70392318	46.7	1073
chr2	70439891	70440442	43.9	551
chr2	70441175	70442704	44.4	1529
chr2	70445925	70446334	48.8	409
chr2	70454768	70456711	46.2	1943
chr2	70481824	70482446	33.3	622
chr2	70531924	70532345	48.4	421
chr2	70549682	70550341	43.8	659
chr2	70557189	70558693	49.1	1504
chr2	70561159	70562239	48	1080
chr2	70579143	70579593	45.1	450
chr2	70590691	70592294	40.7	1603
chr2	70593179	70593531	46.2	352
chr2	70594622	70595329	48	707
chr2	70609938	70610614	42.4	676
chr2	70613057	70614351	38.7	1294
chr2	70634870	70636726	48.1	1856
chr2	70637474	70638230	42.9	756
chr2	70642130	70643703	47.8	1573
chr2	70647100	70649084	42.9	1984
chr2	70650835	70652912	48.3	2077
chr2	70655740	70657993	44.8	2253
chr2	70727060	70728802	48.1	1742
chr2	70736708	70737667	50	959
chr2	70784398	70785241	45.2	843
chr2	70787492	70788410	46.8	918
chr2	70789599	70791329	44.4	1730
chr2	70792826	70793651	46.8	825
chr2	70795476	70796957	48.8	1481
chr2	70799928	70800649	50	721
chr2	70833052	70840779	47.4	7727
chr2	71031472	71032690	44.9	1218
chr2	71051152	71051958	49	806
chr2	71056507	71058054	43.4	1547
chr2	71061573	71062219	47.1	646
chr2	71097145	71097636	39.7	491
chr2	71129643	71130420	50	777
chr2	71131900	71133450	50	1550
chr2	71135284	71136671	48.1	1387
chr2	71169359	71170245	40	886
chr2	71172294	71174062	45.8	1768
chr2	71182153	71183454	49.1	1301
chr2	71184641	71185464	48.1	823
chr2	71190231	71191424	47.2	1193
chr2	71207363	71209943	40.5	2580
chr2	71210572	71211889	46.9	1317
chr2	71215445	71216075	46.9	630
chr2	71245299	71246466	47.8	1167
chr2	71486379	71487251	35.4	872
chr2	71851473	71852408	41.2	935
chr2	71883207	71885245	50	2038
chr2	71886497	71888301	48.6	1804
chr2	71914169	71916384	46.2	2215
chr2	71926765	71927814	34.9	1049
chr2	72020489	72022982	44.2	2493
chr2	72054044	72055671	40	1627
chr2	72077344	72078047	41.9	703
chr2	72080679	72081484	47.9	805
chr2	72644369	72644394	19	25
chr2	73011551	73012324	38.9	773
chr2	73054743	73055285	44.4	542
chr2	73159197	73160268	35.9	1071
chr2	73161372	73162693	39.6	1321
chr2	73163843	73164633	36	790
chr2	73174007	73175957	42.9	1950
chr2	73179663	73182740	33.9	3077
chr2	73206437	73207067	50	630
chr2	73212874	73213808	48.6	934
chr2	73220218	73221247	47.2	1029
chr2	73366601	73367510	48.9	909
chr2	73407949	73408129	45.8	180
chr2	73427002	73427481	48.9	479
chr2	73473749	73474739	46.8	990
chr2	73475928	73477479	50	1551
chr2	73498603	73500058	47.2	1455
chr2	73576020	73577771	40.4	1751
chr2	73583471	73584187	43.9	716
chr2	73598586	73599908	38.1	1322
chr2	73618427	73620002	22.4	1575
chr2	73637726	73638925	50	1199
chr2	73642725	73643088	48.7	363
chr2	73683668	73684762	47.9	1094
chr2	73692131	73693552	40.5	1421
chr2	73703772	73704179	43.6	407
chr2	73705013	73706455	44.2	1442
chr2	73708450	73710181	41.2	1731
chr2	73717332	73718029	34.2	697
chr2	73723140	73725800	45.7	2660
chr2	73731604	73732537	47.7	933
chr2	73740399	73741544	44.4	1145
chr2	73797067	73797993	44.4	926
chr2	73798717	73799350	21	633
chr2	73815179	73818593	21.5	3414
chr2	73910495	73912412	47.5	1917
chr2	73923715	73926185	50	2470
chr2	73933044	73934102	44	1058
chr2	73938434	73940011	45.1	1577
chr2	73968023	73969036	48	1013
chr2	73983573	73984051	44.9	478
chr2	74125444	74126661	50	1217
chr2	74765779	74766206	50	427
chr2	74778925	74780020	42.2	1095
chr2	74795735	74796490	35.1	755
chr2	74800325	74802308	44.6	1983
chr2	74802982	74803809	46.2	827
chr2	74804598	74805741	39.2	1143
chr2	74808035	74809490	41.3	1455
chr2	74885844	74886300	48.3	456
chr2	75166916	75168648	25	1732
chr2	75182918	75183782	44.1	864
chr2	75216254	75216825	47.9	571
chr2	75220830	75223162	11.5	2332
chr2	75223924	75226454	41.2	2530
chr2	75244560	75245701	46.6	1141
chr2	75331347	75332088	45.1	741
chr2	75333497	75334617	41.2	1120
chr2	75366147	75367228	49	1081
chr2	75388246	75388713	45.8	467
chr2	75417270	75419174	45.7	1904
chr2	75432849	75434216	26.9	1367
chr2	75439868	75441114	46.9	1246
chr2	75463492	75464044	45.7	552
chr2	75540271	75541240	42	969
chr2	75557939	75558298	47.7	359
chr2	75643901	75644861	41.5	960
chr2	75664562	75665553	45.3	991
chr2	75721830	75722957	42.6	1127
chr2	75818352	75820044	48	1692
chr2	75832430	75832695	47.8	265
chr2	75839204	75840622	47.4	1418
chr2	75851495	75852227	45.6	732
chr2	75863744	75864629	45.2	885
chr2	75884327	75885051	45.5	724
chr2	76080238	76080541	10.8	303
chr2	76269644	76270814	48.9	1170
chr2	76300217	76302113	41.7	1896
chr2	76302920	76305053	43.5	2133
chr2	76372880	76373004	39.1	124
chr2	76384901	76385742	47.4	841
chr2	76435504	76435978	43.6	474
chr2	76447452	76448933	32.3	1481
chr2	76452809	76453845	35.3	1036
chr2	76474804	76476300	43.1	1496
chr2	76498435	76499635	47.1	1200
chr2	76522739	76523696	45.7	957
chr2	76524491	76525221	50	730
chr2	76532080	76532942	46.9	862
chr2	76534329	76535470	50	1141
chr2	76549668	76549840	45.7	172
chr2	76564433	76565524	50	1091
chr2	76569851	76571024	39.6	1173
chr2	76576436	76577204	40.5	768
chr2	76578918	76580489	43.2	1571
chr2	76581041	76583777	40.5	2736
chr2	76651875	76653500	45.7	1625
chr2	76655224	76656135	43.2	911
chr2	76658883	76659396	45.2	513
chr2	76695672	76697083	41	1411
chr2	76699215	76699639	43.9	424
chr2	76702056	76703573	42.2	1517
chr2	76706899	76709809	38.3	2910
chr2	76710902	76713250	42	2348
chr2	76721975	76722726	47.1	751
chr2	76723999	76726286	48.9	2287
chr2	76766739	76768090	47.3	1351
chr2	76785781	76786113	47.7	332
chr2	77390127	77391290	42.4	1163
chr2	77421762	77422960	48.9	1198
chr2	77426803	77427144	41.7	341
chr2	77427996	77429109	40.8	1113
chr2	77750655	77750796	22.7	141
chr2	77894795	77895624	45.5	829
chr2	77901921	77902890	42.9	969
chr2	77914673	77915348	32.6	675
chr2	77916858	77918137	32.6	1279
chr2	77972721	77974979	44.6	2258
chr2	77975556	77977457	49.1	1901
chr2	77980288	77981634	45.1	1346
chr2	77981634	77982230	49.1	596
chr2	77983805	77984746	47.4	941
chr2	78092864	78093496	45.5	632
chr2	78109559	78110077	40	518
chr2	78111244	78113010	47.1	1766
chr2	78118326	78119086	45	760
chr2	78371222	78372231	47.9	1009
chr2	78380326	78381063	39	737
chr2	78475657	78477062	48.8	1405
chr2	78477608	78479303	48.6	1695
chr2	78480180	78481452	45.9	1272
chr2	78482448	78483480	43.6	1032
chr2	78489235	78490365	48.8	1130
chr2	78493768	78495572	40.5	1804
chr2	78505890	78506532	43.5	642
chr2	78533517	78534474	44.7	957
chr2	78545120	78546205	46.3	1085
chr2	78578971	78579117	12	146
chr2	78607959	78608566	41.7	607
chr2	78617687	78620014	37.5	2327
chr2	78623453	78623800	46.7	347
chr2	78668455	78668637	48.9	182
chr2	78706456	78707441	47.4	985
chr2	78769491	78769822	48.9	331
chr2	78775282	78775971	47.5	689
chr2	78777021	78778332	42.1	1311
chr2	78824496	78824902	48	406
chr2	78918865	78923077	43.2	4212
chr2	78924352	78925124	45.9	772
chr2	78925968	78929594	50	3626
chr2	78930417	78931415	42.5	998
chr2	78932851	78934748	44.4	1897
chr2	78936979	78937714	38.5	735
chr2	79048994	79049557	41.2	563
chr2	79051592	79052311	43.9	719
chr2	79052924	79054917	43.9	1993
chr2	79055563	79056108	48.3	545
chr2	79058287	79059531	49.2	1244
chr2	79108705	79112130	43.6	3425
chr2	79118708	79120679	35.6	1971
chr2	79133100	79134477	40	1377
chr2	79211934	79212791	37.8	857
chr2	79281061	79285154	24.4	4093
chr2	79287646	79288508	49	862
chr2	79304430	79304734	47.1	304
chr2	79307998	79308924	49.1	926
chr2	79326727	79327240	47.9	513
chr2	79344920	79345977	49.1	1057
chr2	79355443	79356277	46.3	834
chr2	79373333	79375372	41.2	2039
chr2	79376246	79377529	47.2	1283
chr2	79427674	79428861	38.1	1187
chr2	79430602	79431761	39.5	1159
chr2	79462030	79462823	48.7	793
chr2	79475194	79476026	45.8	832
chr2	79477368	79478295	40.9	927
chr2	79486590	79487632	38.9	1042
chr2	79528566	79529492	45.7	926
chr2	79662488	79664104	37.5	1616
chr2	79669752	79670811	46.9	1059
chr2	79690942	79691642	50	700
chr2	79705111	79705477	43.5	366
chr2	79706537	79707264	45.7	727
chr2	79718433	79719621	46.9	1188
chr2	79736492	79737522	47.5	1030
chr2	79852933	79853691	40.7	758
chr2	79874493	79875315	49	822
chr2	79915994	79918215	45.1	2221
chr2	79948065	79949488	50	1423
chr2	80043351	80043369	47.5	18
chr2	80104622	80106388	50	1766
chr2	80145636	80147121	46.2	1485
chr2	80334767	80336143	48.8	1376
chr2	80337342	80338219	48.8	877
chr2	80346541	80347847	46.3	1306
chr2	80349856	80351004	43.8	1148
chr2	80559849	80561097	47.9	1248
chr2	80582093	80583489	50	1396
chr2	80626939	80627560	44	621
chr2	80675082	80675993	38.8	911
chr2	80686327	80686973	41.7	646
chr2	80690668	80691384	50	716
chr2	80692033	80693473	47.5	1440
chr2	80694171	80694989	48.8	818
chr2	80706626	80707486	41.7	860
chr2	80711828	80712726	32.7	898
chr2	80732018	80733013	48	995
chr2	80762673	80763834	46.5	1161
chr2	80876039	80878156	47.6	2117
chr2	80881443	80882139	49	696
chr2	80929485	80930155	48.6	670
chr2	80931992	80933022	45.7	1030
chr2	81205525	81206915	44.4	1390
chr2	81208614	81209051	42.3	437
chr2	81219443	81220404	50	961
chr2	81227742	81227966	48.8	224
chr2	81252953	81253785	37.2	832
chr2	81258611	81259924	46.2	1313
chr2	81263791	81264541	50	750
chr2	81271659	81273267	48.6	1608
chr2	81315912	81317158	42.4	1246
chr2	81375004	81376096	38.8	1092
chr2	81382597	81383470	46	873
chr2	81423349	81423875	43.9	526
chr2	81488010	81488041	32.6	31
chr2	81555161	81556033	45.8	872
chr2	81599070	81599728	50	658
chr2	81610188	81611066	43.5	878
chr2	81612587	81614305	47.8	1718
chr2	81615040	81621017	47.8	5977
chr2	81622344	81623798	49	1454
chr2	81625566	81626460	41.9	894
chr2	81703536	81704841	46.7	1305
chr2	81706077	81707160	47.5	1083
chr2	81718105	81720852	40	2747
chr2	81723371	81724656	46.2	1285
chr2	81748157	81748700	46.5	543
chr2	81842490	81842829	45.5	339
chr2	81844102	81845087	49.1	985
chr2	81850905	81852412	47.6	1507
chr2	81858807	81859181	45	374
chr2	81863883	81864590	37.1	707
chr2	81866975	81868172	36.1	1197
chr2	81871931	81874520	38.1	2589
chr2	81875476	81876548	37.8	1072
chr2	81877501	81880395	39.5	2894
chr2	81881216	81882949	44.7	1733
chr2	81883835	81886508	49	2673
chr2	81966040	81967295	44.4	1255
chr2	82190677	82190800	11.1	123
chr2	82278994	82280247	37.3	1253
chr2	82285341	82285900	44	559
chr2	82320199	82321167	50	968
chr2	82502556	82504248	46.9	1692
chr2	82559718	82560327	42.2	609
chr2	82566894	82568078	46.5	1184
chr2	82598135	82598189	48.8	54
chr2	83158820	83160106	35.6	1286
chr2	83168379	83168715	40.5	336
chr2	83169731	83170420	44.7	689
chr2	83172335	83172795	36.7	460
chr2	83185186	83186524	48.1	1338
chr2	83202667	83204329	40.9	1662
chr2	83231729	83233028	43.6	1299
chr2	83241880	83242865	34	985
chr2	83246369	83247061	39.1	692
chr2	83248057	83249099	44.9	1042
chr2	83251702	83253029	45.6	1327
chr2	83294487	83296316	46	1829
chr2	83299621	83300638	40.4	1017
chr2	83342643	83343636	46.8	993
chr2	84135561	84136574	40.5	1013
chr2	84198435	84199030	39.5	595
